"id";"sido";"gugun";"gubun";"Type";"year_code"
1444;"서울특별시";"성동구";2;"신호";19
1445;"서울특별시";"영등포구";2;"신호";19
1446;"서울특별시";"송파구";2;"신호";19
1447;"서울특별시";"동대문구";2;"신호";19
1448;"서울특별시";"은평구";2;"신호";19
1449;"서울특별시";"동대문구";2;"신호";19
1450;"서울특별시";"영등포구";2;"신호";19
1451;"서울특별시";"구로구";2;"신호";19
1452;"서울특별시";"성북구";2;"신호";19
1453;"서울특별시";"마포구";2;"신호";19
1454;"서울특별시";"성동구";2;"신호";17
1455;"서울특별시";"중랑구";2;"신호";17
1456;"서울특별시";"중랑구";2;"신호";17
1457;"서울특별시";"관악구";2;"신호";17
1458;"서울특별시";"서초구";2;"신호";17
1459;"서울특별시";"노원구";2;"신호";17
1460;"서울특별시";"강남구";1;"과속";17
1461;"서울특별시";"영등포구";1;"과속";17
1462;"서울특별시";"용산구";1;"과속";17
1463;"서울특별시";"동대문구";1;"과속";17
1464;"서울특별시";"강서구";1;"과속";17
1465;"서울특별시";"강동구";1;"과속";17
1466;"서울특별시";"영등포구";1;"과속";17
1467;"서울특별시";"도봉구";1;"과속";17
1468;"서울특별시";"도봉구";1;"과속";17
1469;"서울특별시";"성북구";2;"신호";18
1470;"서울특별시";"관악구";2;"신호";18
1471;"서울특별시";"강동구";2;"신호";18
1472;"서울특별시";"강동구";2;"신호";18
1473;"서울특별시";"강동구";2;"신호";18
1474;"서울특별시";"노원구";2;"신호";18
1475;"서울특별시";"서초구";2;"신호";18
1476;"서울특별시";"서초구";2;"신호";18
1477;"서울특별시";"서초구";2;"신호";18
1478;"서울특별시";"노원구";2;"신호";18
1479;"서울특별시";"서초구";2;"신호";19
1480;"서울특별시";"영등포구";2;"신호";18
1481;"서울특별시";"광진구";2;"신호";18
1482;"서울특별시";"강남구";1;"과속";16
1483;"서울특별시";"구로구";1;"과속";18
1484;"서울특별시";"종로구";2;"신호";17
1485;"서울특별시";"서대문구";2;"신호";17
1486;"서울특별시";"송파구";2;"신호";18
1487;"서울특별시";"송파구";2;"신호";18
1488;"서울특별시";"송파구";2;"신호";18
1489;"서울특별시";"송파구";2;"신호";18
1490;"서울특별시";"송파구";2;"신호";18
1491;"서울특별시";"송파구";2;"신호";18
1492;"서울특별시";"금천구";2;"신호";18
1493;"서울특별시";"금천구";2;"신호";18
1494;"서울특별시";"서초구";2;"신호";17
1495;"서울특별시";"서초구";2;"신호";17
1496;"서울특별시";"영등포구";2;"신호";17
1497;"서울특별시";"관악구";2;"신호";17
1498;"서울특별시";"관악구";2;"신호";17
1499;"서울특별시";"관악구";2;"신호";17
1500;"서울특별시";"송파구";1;"과속";18
1501;"서울특별시";"송파구";1;"과속";18
1502;"서울특별시";"송파구";1;"과속";18
1503;"서울특별시";"송파구";1;"과속";18
1504;"서울특별시";"서대문구";2;"신호";17
1505;"서울특별시";"강동구";2;"신호";18
1506;"서울특별시";"종로구";2;"신호";17
