id,가변전광표지판명,sido,gugun,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,year_code
336,1016,서울특별시,중구,11140,3,소공로,,,37.55872,126.983049,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
337,1017,서울특별시,중구,11140,3,삼일대로,,,37.560384,126.989627,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
338,1018,서울특별시,성동구,11200,3,동호로,,,37.547965000000005,127.015964,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,12
339,1019,서울특별시,중구,11140,3,왕십리로,,,37.565681,127.01783600000002,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
340,1020,서울특별시,동대문구,11230,3,천호대로,,,37.571886,127.044394,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
341,1021,서울특별시,동대문구,11230,3,왕산로,,,37.577273999999996,127.02871499999999,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,12
342,1022,서울특별시,마포구,11440,3,성산로,,,37.562427,126.901858,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
343,1023,서울특별시,성북구,11290,3,종암로,,,37.595995,127.03536899999999,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
344,1024,서울특별시,성북구,11290,3,동소문로,,,37.589725,127.008925,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
345,1025,서울특별시,종로구,11110,3,종로,,,37.570806,126.996276,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,12
346,1026,서울특별시,중구,11140,3,세종대로,,,37.568934999999996,126.977319,5760,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 24열,12
347,2001,서울특별시,양천구,11470,3,안양천로,,,37.512274,126.87453799999999,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
348,2002,서울특별시,양천구,11470,3,남부순환로,,,37.51853,126.838618,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
349,2002,서울특별시,양천구,11470,3,남부순환로,,,37.5091,126.858446,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
350,2002,서울특별시,양천구,11470,3,남부순환로,,,37.506221999999994,126.883927,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
351,2002,서울특별시,양천구,11470,3,남부순환로,,,37.492255,126.835472,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
352,2002,서울특별시,양천구,11470,3,남부순환로,,,37.497252,126.85469099999999,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
353,2002,서울특별시,양천구,11470,3,남부순환로,,,37.51393,126.898953,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
354,3001,서울특별시,강남구,11680,3,테헤란로,,,37.505534999999995,127.05238700000001,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
355,3002,서울특별시,강남구,11680,3,남부순환로,,,37.491408,127.05694,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
356,3003,서울특별시,송파구,11710,3,송파대로,,,37.493951,127.117547,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
357,3004,서울특별시,광진구,11215,3,자양로,,,37.534434000000005,127.08421100000001,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
358,3005,서울특별시,송파구,11710,3,송파대로,,,37.483657,127.12403799999998,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
359,3006,서울특별시,강남구,11680,3,양재대로,,,37.490119,127.08706200000002,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
360,3007,서울특별시,송파구,11710,3,올림픽로,,,37.535624,127.12215,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
361,3008,서울특별시,강동구,11740,3,양재대로,,,37.532132,127.137666,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
362,3009,서울특별시,송파구,11710,3,위례성대로,,,37.513954,127.12362399999999,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
363,3010,서울특별시,송파구,11710,3,올림픽로,,,37.511553,127.088334,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
364,3011,서울특별시,송파구,11710,3,송파대로,,,37.517993,127.09633899999999,8160,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 34열,15
365,3012,서울특별시,송파구,11710,3,삼전로,,,37.503624,127.08764599999999,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
366,3013,서울특별시,송파구,11710,3,올림픽로,,,37.516477,127.109625,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
367,3014,서울특별시,송파구,11710,3,송파대로,,,37.504216,127.10801200000002,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
368,3015,서울특별시,송파구,11710,3,송파대로,,,37.506912,127.10602800000001,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
369,3016,서울특별시,송파구,11710,3,도곡로,,,37.506189,127.079048,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
370,3017,서울특별시,송파구,11710,3,오금로,,,37.507369,127.118182,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,15
371,국도 목포방향 금천IC,서울특별시,금천구,11545,2,서부간선도로,1번,1.0,37.462303000000006,126.88878100000001,6000,1200,6400.0,1600.0,8000.0,2,2,1,빨간색+노란색+녹색,2,2단10열,9
372,서울방향 금토양재2(LCS),서울특별시,서초구,11650,1,경부고속도로,1번,2.0,37.440302,127.060505,3000,600,4000.0,1600.0,8500.0,1,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,1단10열,18
373,부산방향 양재IC(BUS),서울특별시,서초구,11650,1,경부고속도로,1번,1.0,37.45382,127.048825,2400,600,3400.0,1600.0,7500.0,1,2,1,빨간색+노란색+녹색,2,1단6열,10
374,국도 양재(화훼),서울특별시,서초구,11650,3,강남대로,41번,1.0,37.468056,127.040278,6000,1200,7000.0,2200.0,7500.0,2,2,1,빨간색+노란색+녹색,2,2단10열,5
375,부산방향 양재IC,서울특별시,서초구,11650,1,경부고속도로,1번,1.0,37.464115,127.039028,12600,1800,10000.0,2200.0,7500.0,1,2,1,빨간색+노란색+녹색,2,3단21열,14
376,서울방향 양재IC,서울특별시,서초구,11650,1,경부고속도로,1번,2.0,37.463611,127.039722,12600,1800,10000.0,2200.0,7500.0,1,2,1,빨간색+노란색+녹색,2,3단21열,14
377,만남의광장 교통안내,서울특별시,서초구,11650,1,경부고속도로,1번,1.0,37.47007,127.033472,1200,1200,1400.0,1400.0,6000.0,2,2,1,빨간색+노란색+녹색,2,2단2열,17
378,국도 서초(서초),서울특별시,서초구,11650,3,남부순환로,92번,2.0,37.482778,127.022222,6000,1200,7000.0,2200.0,8500.0,2,2,1,빨간색+노란색+녹색,2,2단10열,5
379,국도 서초(도곡),서울특별시,서초구,11650,3,남부순환로,92번,1.0,37.484167,127.030556,6000,1200,7000.0,2200.0,8500.0,2,2,1,빨간색+노란색+녹색,2,2단10열,6
