가변전광표지판명,시도명,시군구명,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,설치연도
1006,서울특별시,마포구,11440,3,성산로,,,37.562418,126.90187,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1007,서울특별시,마포구,11440,3,양화로,,,37.548372,126.911145,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1008,서울특별시,영등포구,11560,3,국회대로,,,37.525609,126.90655,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1009,서울특별시,마포구,11440,3,신촌로,,,37.55665,126.944159,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,2012
1010,서울특별시,마포구,11440,3,마포대로,,,37.5408,126.947634,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1011,서울특별시,마포구,11440,3,마포대로,,,37.55383,126.956921,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1012,서울특별시,용산구,11170,3,만리재로,,,37.552625,126.963794,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,2012
1013,서울특별시,용산구,11170,3,청파로,,,37.55171,126.969527,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1014,서울특별시,용산구,11170,3,한강대로,,,37.531131,126.969801,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,2012
1015,서울특별시,용산구,11170,3,한강대로,,,37.550501,126.972088,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,2012
1016,서울특별시,중구,11140,3,소공로,,,37.55872,126.983049,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1017,서울특별시,중구,11140,3,삼일대로,,,37.560384,126.989627,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1018,서울특별시,성동구,11200,3,동호로,,,37.547965,127.015964,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,2012
1019,서울특별시,중구,11140,3,왕십리로,,,37.565681,127.017836,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1020,서울특별시,동대문구,11230,3,천호대로,,,37.571886,127.044394,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
