id,주차장 종류명,운영구분명,유무료구분명,야간무료개방여부명,sido,gugun,address
1844,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동157-1
1845,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동157-1
1846,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동157-1
1847,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동157-1
1848,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동157-1
1849,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1850,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1851,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1852,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1853,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1854,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1855,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1856,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1857,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1858,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1859,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1860,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1861,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1862,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1863,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1864,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1865,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1866,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1867,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1868,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1869,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1870,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1871,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1872,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1873,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1874,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1875,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1876,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1877,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1878,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1879,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1880,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1881,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1882,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1883,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1884,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1885,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1886,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1887,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
1888,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,사근동293-3
